code,iso,country,PMD.raw.2008,PMD.raw.2009,PMD.raw.2010,PMD.raw.2011,PMD.raw.2012,PMD.raw.2013,PMD.raw.2014,PMD.raw.2015,PMD.raw.2016,PMD.raw.2017,PMD.raw.2018,PMD.raw.2019
826,GBR,United Kingdom,435.7531,414.0714,394.9993,372.2714,347.694,326.0666,304.9917,294.8980096,289.6564515,286.4196291,285.8509262,280.5127785
840,USA,United States of America,413.2898,385.8439,359.9721,343.2412,326.0441,310.5281,296.1297,283.5238203,267.2755296,252.9543121,250.8516978,249.4296641
32,ARG,Argentina,632.7849,631.4999,629.1717,628.3248,627.2377,629.1822,623.8981,624.5758182,620.0178524,596.8603743,585.5216743,580.4380542
156,CHN,China,1984.613469,2011.248305,2029.534209,2024.860495,2004.999748,1987.060971,1962.458974,1921.885946,1854.62846,1782.888749,1749.996404,1743.3549
566,NGA,Nigeria,1424.898716,1454.686336,1491.131178,1563.239386,1684.092968,1807.19402,1892.239938,1929.854375,1904.940118,1849.284647,1838.035469,1869.209248
818,EGY,Egypt,4643.853859,4693.069999,4649.462134,4540.243093,4516.738903,4330.930266,4272.070432,4388.481759,4248.828354,4089.565822,4034.412844,3993.224209
76,BRA,Brazil,768.6546372,758.725638,741.6755201,714.9805051,669.9247388,629.2384053,590.0663049,568.7506785,568.0071932,552.8455853,546.0554702,542.7443866
392,JPN,Japan,251.5144069,244.9493316,242.194668,244.9640428,249.6298643,257.0429111,262.3484284,262.7909262,261.7102781,257.2665629,256.6441396,256.0192158
643,RUS,Russia,1529.432311,1457.773712,1454.47477,1318.467045,1228.305923,1129.687604,1068.652734,975.8511373,871.8861424,763.8980703,754.5885114,764.4997137
276,DEU,Germany,507.6141239,509.912458,503.8255928,485.7145786,456.9708012,428.908121,392.9963335,375.4855158,353.7205444,338.2790574,335.3876598,334.522656